Provider State	Provider Name	Penalty Date	Penalty Type	Fine Amount
CA	SACRAMENTO POST-ACUTE	01/25/2017	Fine	20066
CO	TERRACE GARDENS HEALTH CARE CENTER	11/23/2016	Payment Denial	
CT	CASSENA CARE AT NORWALK	07/13/2017	Fine	24980
AR	MIDTOWN POST ACUTE AND REHABILITATION - A WATERS C	10/20/2016	Fine	28624
FL	SIGNATURE HEALTHCARE AT COLLEGE PARK	02/09/2017	Fine	26117
CA	REDWOOD COVE HEALTHCARE CENTER	04/17/2017	Fine	2013
CA	ALEXANDRIA CARE CENTER	10/12/2017	Payment Denial	
CA	CYPRESS RIDGE CARE CENTER	05/01/2018	Fine	9168
FL	REHABILITATION AND HEALTHCARE CENTER OF TAMPA	08/08/2017	Fine	22386
DC	BRIDGEPOINT SUB-ACUTE AND REHAB CAPITOL HILL	06/20/2018	Fine	9000
CA	ARBOR GLEN CARE CENTER	10/26/2016	Fine	1991
CA	LEISURE GLEN POST ACUTE CARE CENTER	03/04/2019	Payment Denial	
CA	NAPA POST ACUTE	02/07/2017	Fine	9296
CA	JURUPA HILLS POST ACUTE	01/13/2017	Fine	50335
FL	ST CATHERINE LABOURE MANOR, INC	06/15/2017	Payment Denial	
CA	ATLANTIC MEMORIAL HEALTHCARE CENTER	09/05/2017	Fine	15000
CA	BRENTWOOD POST ACUTE	09/22/2016	Payment Denial	
CT	CRESTFIELD REHABILITATION CENTER & FENWOOD MANOR	06/12/2018	Fine	7150
CT	WESTPORT REHABILITATION COMPLEX	02/05/2019	Fine	7296
CT	LAUREL RIDGE HEALTH CARE CENTE	01/06/2017	Fine	9596
AL	AHAVA HEALTHCARE OF ALABASTER	09/27/2018	Payment Denial	
CA	DRIFTWOOD HEALTHCARE CENTER - SANTA CRUZ	01/10/2018	Fine	13500
AL	BLUE RIDGE HEALTHCARE WINDWOOD	11/05/2016	Payment Denial	
CA	PACIFIC HILLS MANOR	01/17/2019	Fine	8775
CA	BRENTWOOD POST ACUTE	09/22/2016	Fine	69281
AR	FIANNA HILLS NURSING AND REHABILITATION CENTER	03/23/2018	Payment Denial	
CT	REGALCARE AT SOUTHPORT	08/22/2017	Fine	6821
AR	DIAMOND COVE, LLC	04/20/2017	Fine	7874
CT	MILLER MEMORIAL COMMUNITY	11/17/2016	Fine	16450
CT	CASSENA CARE AT NORWALK	04/09/2018	Fine	13003
CO	BELMONT LODGE HEALTH CARE CENTER	05/04/2017	Fine	135954
CA	MOUNTAIN VIEW HEALTHCARE CENTER	02/02/2017	Fine	3250
CA	MANTECA CARE AND REHABILITATION CENTER	11/09/2016	Payment Denial	
CA	BRENTWOOD POST ACUTE	08/03/2018	Payment Denial	
CO	JUNIPER VILLAGE - THE SPEARLY CENTER	10/06/2016	Fine	26378
AR	WESTWOOD HEALTH AND REHAB, INC	11/09/2018	Fine	17968
AR	LEGACY HEALTH AND REHABILITATION CENTER	06/14/2017	Payment Denial	
FL	FAIRWAY OAKS CENTER	11/15/2018	Fine	13627
CT	BRIDGEPORT HEALTH CARE CENTER	08/23/2017	Fine	8125
CT	BISHOP WICKE HEALTH & REHAB CT	05/24/2018	Fine	8778
CO	HALLMARK NURSING CENTER	08/04/2016	Fine	12708
AR	ARKANSAS VETERANS HOME AT FAYETTEVILLE	02/14/2018	Fine	13505
DE	DELAWARE VETERANS HOME	11/04/2016	Fine	79238
CT	WOODLAKE AT TOLLAND REHABILITATION & NURSING CENTE	12/09/2016	Fine	2641
CO	TERRACE GARDENS HEALTH CARE CENTER	11/23/2016	Fine	94416
FL	CONCORDIA VILLAGE OF TAMPA	11/30/2018	Payment Denial	
CT	APPLE REHAB WEST HAVEN	04/20/2017	Fine	19383
DE	SEAFORD CENTER	05/23/2018	Fine	39991
CA	CANYON SPRINGS POST-ACUTE	05/16/2017	Fine	26764
DE	CADIA REHABILITATION CAPITOL	05/11/2018	Fine	14105
CT	NOTRE DAME CONVALESCENT HOME I	06/16/2016	Fine	4713
CT	NEW LONDON SUB-ACUTE AND NURSING	10/26/2018	Fine	9750
AL	ARLINGTON REHABILITATION & HEALTHCARE CENTER	09/27/2016	Fine	2812
AR	THE WATERS OF NORTH LITTLE ROCK, LLC	06/09/2017	Fine	7964
CA	ELMCREST CARE CENTER	12/17/2018	Fine	6633
CO	GRACE POINTE CONTINUING CARE SR CAMPUS SKILLED NUR	08/09/2017	Fine	5356
AR	CORNING THERAPY AND LIVING CENTER	09/13/2017	Fine	7964
AR	THE WATERS OF WEST DIXON, LLC	11/17/2016	Fine	28334
CT	GARDNER HEIGHTS HEALTH CARE CENTER, INC	06/15/2017	Fine	2666
CT	THE RESERVOIR	10/07/2016	Fine	19192
AR	COMMUNITY COMPASSION CENTER OF BATESVILLE	07/28/2017	Fine	20907
CT	LONG RIDGE POST-ACUTE CARE	03/01/2018	Fine	18922
CT	GROTON REGENCY CENTER	10/07/2016	Fine	457
AK	DENALI CENTER	10/27/2016	Fine	13858
CA	FOUR SEASONS HEALTHCARE & WELLNESS CENTER, LP	03/12/2018	Fine	6500
CA	LINDA VALLEY CARE CENTER	06/03/2016	Fine	16673
CA	BONNIE BRAE CONVALESCENT HOSP	04/28/2017	Fine	28219
AR	BAILEY CREEK HEALTH AND REHAB	07/20/2017	Fine	9100
CT	APPLE REHAB ROCKY HILL	02/15/2018	Fine	9750
AL	MARENGO NURSING HOME	02/15/2017	Fine	27145
AZ	RIO VISTA POST ACUTE AND REHABILITATION	06/17/2016	Payment Denial	
CA	DINUBA HEALTHCARE	10/12/2017	Fine	6893
CO	PALISADES LIVING CENTER	01/10/2017	Payment Denial	
AR	THE GREEN HOUSE COTTAGES OF SOUTHERN HILLS	04/04/2018	Fine	13627
CT	WATROUS NURSING CENTER	05/07/2018	Fine	9750
CA	SAN RAFAEL HEALTHCARE & WELLNESS CENTER, LP	11/15/2016	Payment Denial	
CA	LOS ALTOS SUB-ACUTE AND REHABILITATION CENTER	02/08/2019	Fine	13780
CA	LA MARIPOSA CARE AND REHABILITATION CENTER	09/16/2016	Fine	16120
CO	CHERRELYN HEALTHCARE CENTER	11/21/2017	Fine	66373
CT	LITCHFIELD WOODS HEALTH CARE C	07/12/2018	Fine	8125
CT	APPLE REHAB SAYBROOK	08/30/2018	Fine	13627
CA	AMBERWOOD GARDENS	01/22/2018	Fine	8125
CA	PANORAMA MEADOWS NURSING CENTER, LP	04/30/2017	Payment Denial	
CA	YORK HEALTHCARE & WELLNESS CENTRE	12/28/2017	Fine	6500
CO	MONACO PARKWAY HEALTH AND REHABILITATION CENTER	03/02/2017	Fine	70733
CT	REGALCARE AT SOUTHPORT	11/30/2018	Fine	462
CT	GREENWICH WOODS REHABILITATION	09/20/2018	Fine	7150
AR	THE WATERS OF STAMPS, LLC	03/30/2017	Fine	11853
AR	HAPPY VALLEY NURSING & REHABILITATION	04/13/2018	Payment Denial	
CA	DOWNEY CARE CENTER	04/14/2017	Fine	6194
AR	COMMUNITY COMPASSION CENTER OF YELLVILLE	05/05/2017	Fine	11521
CA	FLAGSHIP HEALTHCARE CENTER	11/07/2016	Payment Denial	
FL	AVANTE AT LAKE WORTH, INC.	07/28/2016	Fine	2387
CT	ADVANCED CENTER FOR NURSING & REHABILITATION	10/31/2018	Fine	9750
AR	ROGERS HEALTH AND REHABILITATION CENTER	05/05/2017	Fine	7964
CT	JEWISH SENIOR SERVICES	05/11/2017	Fine	2341
CA	FIRCREST CONVALESCENT HOSPITAL	07/26/2016	Fine	122287
AR	LAKE HAMILTON HEALTH AND REHAB	06/06/2018	Fine	10000
AR	LONGMEADOW NURSING CENTER - CAMDEN	11/22/2017	Payment Denial	
CA	EASTLAND SUBACUTE AND REHABILITATION CENTER	12/08/2016	Payment Denial	
CT	NOBLE HORIZONS	06/30/2016	Fine	2503
AL	AHAVA HEALTHCARE OF ALABASTER	07/21/2017	Fine	11487
CA	LONG BEACH CARE CENTER, INC	12/05/2017	Fine	13000
FL	SANDALWOOD REHABILITATION AND NURSING CENTER	08/08/2017	Payment Denial	
CA	MAPLE HEALTHCARE CENTER	09/16/2016	Fine	48141
CO	REHABILITATION AND NURSING CENTER OF THE ROCKIES	05/05/2017	Payment Denial	
CO	MOUNTAIN VISTA HEALTH CENTER	04/19/2018	Fine	11053
CT	APPLE REHAB WATERTOWN	06/18/2018	Fine	10000
CT	WOODLAKE AT TOLLAND REHABILITATION & NURSING CENTE	06/16/2016	Fine	4550
CA	GREENFIELD CARE CENTER OF SOUTH GATE	07/25/2018	Fine	31174
CA	EDGEWATER SKILLED NURSING CENTER	12/20/2016	Fine	22635
DE	BRANDYWINE NURSING & REHABILITATION CENTER	04/25/2018	Payment Denial	
AR	TIMBERLANE HEALTH & REHABILITATION	02/14/2018	Fine	12005
CT	WATERTOWN CONVALARIUM, INC	01/05/2018	Payment Denial	
CT	MATTATUCK HEALTH CARE FAC	09/07/2017	Fine	6821
CT	THE RESERVOIR	03/03/2017	Fine	11188
AR	METHODIST HEALTH AND REHAB	09/13/2017	Fine	20770
CA	COUNTRY VILLA BAY VISTA HCC	10/05/2017	Fine	5000
CT	VILLA AT STAMFORD, THE	03/28/2017	Fine	3320
CA	GOLDEN LIVING CENTER - GALT	02/08/2018	Fine	8518
FL	SANDALWOOD REHABILITATION AND NURSING CENTER	08/08/2017	Fine	5424
CO	MISSION SAN MIGUEL NURSING AND REHAB CENTER	01/29/2019	Payment Denial	
CT	WESTERN REHABILITATION CARE CENTER	02/22/2017	Fine	7938
CO	CAMBRIDGE CARE CENTER	06/28/2018	Fine	12006
AL	BIRMINGHAM NURSING AND REHABILITATION CTR	11/02/2017	Fine	11703
FL	TERRACE AT HOBE SOUND, THE	10/24/2016	Fine	11611
FL	BRISTOL AT TAMPA REHAB AND NURSING CENTER LLC	08/31/2018	Fine	201790
CA	KATHERINE HEALTHCARE	02/28/2018	Fine	9750
AL	AHAVA HEALTHCARE OF ALABASTER	09/27/2018	Fine	13305
CT	CANDLEWOOD VALLEY HEALTH & REHABILITATION CENTER	04/27/2017	Fine	2341
CT	REGALCARE AT TORRINGTON	07/12/2017	Fine	6500
AR	COMMUNITY COMPASSION CENTER OF MAGNOLIA	06/24/2016	Fine	23010
CT	TALMADGE PARK REHABILITATION AND CARE CENTER	06/22/2017	Fine	3320
CA	CANTERBURY WOODS	08/11/2017	Fine	7803
CA	FOUR SEASONS HEALTHCARE & WELLNESS CENTER, LP	03/21/2017	Fine	3097
FL	EGRET COVE CENTER	02/15/2018	Fine	11382
CA	VALLEY HOUSE REHABILITATION CENTER	02/15/2018	Fine	15000
CA	TWO PALMS NURSING CENTER, INC	01/06/2017	Fine	3063
CO	LAKEWOOD VILLA	04/20/2017	Fine	22092
CO	SAN JUAN LIVING CENTER	12/09/2016	Fine	31918
CO	BELMONT LODGE HEALTH CARE CENTER	10/12/2016	Fine	174410
CT	NOBLE HORIZONS	10/03/2018	Fine	9750
AL	PRATTVILLE HEALTH AND REHABILITATION, LLC	10/20/2016	Fine	13408
CA	EASTLAND SUBACUTE AND REHABILITATION CENTER	12/08/2016	Fine	18889
CO	SIERRA VISTA HEALTHCARE CENTER	02/14/2017	Fine	67567
AL	LAFAYETTE NURSING HOME	01/23/2019	Fine	13905
CO	APPLEWOOD LIVING CENTER	08/11/2016	Fine	63342
CA	PACIFIC HILLS MANOR	06/08/2018	Fine	14105
CA	SANTA FE CONVALESCENT HOSPITAL	01/29/2018	Fine	32825
CO	SUITES AT CLERMONT PARK CARE CENTER	04/27/2017	Fine	13405
CT	REGALCARE AT SOUTHPORT	08/29/2016	Fine	3363
CT	WHITNEY REHABILITATION CARE CENTER	08/24/2017	Fine	7150
CO	MANORCARE HEALTH SERVICES - DENVER	03/06/2019	Payment Denial	
CA	ROSE GARDEN HEALTHCARE CENTER	01/05/2017	Fine	13078
AR	LINCOLN HEIGHTS HEALTHCARE	02/16/2018	Fine	27254
CT	APPLE REHAB MYSTIC	06/22/2017	Fine	4225
FL	JACKSON MEMORIAL LONG TERM CARE CENTER	12/23/2016	Fine	43029
CA	SAN FRANCISCO HEALTH CARE	08/29/2016	Fine	8034
AR	ARLINGTON COVE HEALTHCARE LLC	03/16/2017	Fine	7938
AL	MITCHELL-HOLLINGSWORTH NURSING & REHABILITATION	11/17/2017	Fine	31639
AL	CHERRY HILL REHABILITATION & HEALTHCARE CENTER	06/23/2016	Fine	2926
FL	BRADEN RIVER REHABILITATION CENTER LLC	04/19/2018	Fine	9727
CT	CHESTELM HEALTH CARE	12/21/2017	Fine	6500
AR	CRESTPARK WYNNE, LLC	07/13/2018	Fine	28168
CA	MAPLE HEALTHCARE CENTER	09/16/2016	Payment Denial	
FL	SANDALWOOD REHABILITATION AND NURSING CENTER	08/08/2017	Fine	6588
CT	MADISON HOUSE	03/10/2017	Fine	19383
AR	LAKEWOOD HEALTHCARE, INC	02/16/2017	Fine	52083
CO	COLORADO STATE VETERANS NURSING HOME-RIFLE	11/03/2016	Fine	60133
CT	HARBOR VILLAGE NORTH HEALTH AND REHABILITATION CEN	11/21/2017	Fine	13325
DE	CADIA REHABILITATION CAPITOL	07/30/2018	Fine	13500
CA	LAS COLINAS POST ACUTE	04/07/2017	Fine	50231
CA	SAN TOMAS CONVALESCENT HOSPITAL	08/07/2017	Fine	12500
FL	OCEAN VIEW NURSING & REHABILITATION CENTER, LLC	01/17/2019	Fine	20112
CA	BROADWAY MANOR CARE CENTER	01/19/2018	Fine	10000
AZ	PUEBLO SPRINGS REHABILITATION CENTER	08/23/2018	Fine	7150
AR	FIANNA HILLS NURSING AND REHABILITATION CENTER	03/23/2018	Fine	11375
CT	WATROUS NURSING CENTER	05/18/2017	Fine	12922
CT	CAROLTON CHRONIC & CONV HOSP,	01/08/2019	Fine	6633
CA	MEDICAL CENTER CONVALESCENT HOSPITAL	06/20/2016	Fine	18200
AR	THE WATERS OF ROGERS, LLC	09/21/2016	Fine	12771
AR	PERRY COUNTY NURSING AND REHABILITATION CENTER	05/03/2017	Fine	9296
AR	COMMUNITY COMPASSION CENTER OF JONESBORO	06/17/2016	Payment Denial	
CT	GOLDEN HILL REHAB PAVILION	12/15/2016	Fine	2641
CA	SPRINGS ROAD HEALTHCARE	05/12/2017	Fine	24172
CO	FLATIRONS HEALTH & REHAB, LLC	11/03/2017	Payment Denial	
AR	BEEBE RETIREMENT CENTER, INC.	07/12/2016	Fine	2275
CT	VERNON MANOR HEALTH CARE CENTER	07/14/2016	Fine	9555
AR	LAKEWOOD HEALTHCARE, INC	09/15/2017	Fine	6500
AL	VILLAGE AT COOK SPRINGS SKILLED NURSING FACILITY	01/03/2019	Fine	13905
CA	GRAND VALLEY HEALTH CARE CENTER	09/27/2018	Fine	6633
CA	GREENFIELD CARE CENTER OF SOUTH GATE	01/29/2018	Fine	9848
CT	AVALON HEALTH CARE CENTER AT STONERIDGE	08/02/2017	Fine	4225
CT	TALMADGE PARK REHABILITATION AND CARE CENTER	06/11/2018	Fine	8125
CT	ROSE HAVEN, LTD	01/03/2017	Fine	9482
CT	MAEFAIR HEALTH CARE CENTER	07/06/2018	Fine	11700
CT	APPLE REHAB CROMWELL	06/29/2017	Fine	6500
AR	BARNES HEALTHCARE	08/10/2017	Payment Denial	
AR	FIANNA HILLS NURSING AND REHABILITATION CENTER	09/22/2017	Fine	13443
CA	BRENTWOOD POST ACUTE	09/22/2016	Fine	9563
CA	ST. JOHN OF GOD RETIREMENT	10/27/2017	Fine	10000
FL	TAMARAC REHABILITATION AND HEALTH CENTER	05/16/2017	Fine	1428
CO	ST ANDREWS VILLAGE-LTC	02/07/2017	Fine	38921
CT	REGALCARE AT WEST HAVEN	03/01/2018	Fine	8125
AR	THE WATERS OF WOODLAND HILLS, LLC	02/09/2018	Payment Denial	
CA	WINDSOR CHICO CREEK CARE AND REHAB CENTER	08/24/2018	Payment Denial	
CT	DOUGLAS MANOR	01/11/2018	Fine	14910
AL	PARKWOOD HEALTH CARE FACILITY	10/31/2016	Payment Denial	
CO	LOWRY HILLS CARE AND REHABILITATION	07/11/2018	Payment Denial	
CO	MONACO PARKWAY HEALTH AND REHABILITATION CENTER	06/01/2017	Payment Denial	
CT	REGALCARE AT WEST HAVEN	06/10/2016	Fine	16938
DE	REGAL HEIGHTS HEALTHCARE & REHAB CENTER	01/23/2017	Fine	91334
CT	QUINNIPAC VALLEY CENTER	12/01/2016	Fine	2641
AR	HUDSON MEMORIAL NURSING HOME	06/12/2018	Fine	11378
CO	ARBOR VIEW	08/24/2018	Fine	18856
AL	BARON HOUSE OF HUEYTOWN	02/01/2018	Fine	6113
FL	CONCORDIA VILLAGE OF TAMPA	09/28/2017	Fine	15580
CT	LAUREL RIDGE HEALTH CARE CENTE	09/26/2018	Fine	13627
CA	AFFINITY HEALTHCARE CENTER	11/02/2017	Fine	10556
CT	ADVANCED CENTER FOR NURSING & REHABILITATION	01/19/2017	Fine	54645
CT	REGALCARE AT TORRINGTON	07/20/2018	Fine	8125
CA	MILLBRAE SKILLED CARE	05/29/2018	Fine	43804
AR	HERITAGE LIVING CENTER	03/20/2018	Fine	13811
CA	SEQUOIA TRANSITIONAL CARE	01/06/2017	Fine	31746
AR	DAVIS EAST	06/01/2018	Payment Denial	
CT	LITCHFIELD WOODS HEALTH CARE C	06/22/2017	Fine	6500
CO	CHRISTOPHER HOUSE REHABILITATION AND CARE COMMUNIT	01/18/2017	Fine	3941
AR	CRESTPARK STUTTGART, LLC	01/18/2019	Fine	8704
AZ	HANDMAKER HOME FOR THE AGING	10/06/2016	Fine	15627
CT	MARLBOROUGH HEALTH CARE CENTER	02/26/2018	Fine	6500
AR	COMMUNITY COMPASSION CENTER OF BATESVILLE	01/11/2018	Payment Denial	
CO	ALPINE LIVING CENTER	12/01/2016	Fine	20792
AR	MIDTOWN POST ACUTE AND REHABILITATION - A WATERS C	10/20/2016	Payment Denial	
AK	PRESTIGE CARE & REHAB CENTER OF ANCHORAGE	09/29/2017	Fine	24843
CO	YUMA LIFE CARE CENTER	07/19/2017	Fine	524885
CA	WINDSOR REDDING CARE CENTER	09/13/2018	Fine	10400
CT	DOUGLAS MANOR	12/06/2018	Fine	19793
FL	EDEN SPRINGS NURSING AND REHAB CENTER	02/01/2018	Payment Denial	
AZ	CORONADO HEALTHCARE CENTER	06/01/2018	Fine	6500
AR	PERRY COUNTY NURSING AND REHABILITATION CENTER	05/03/2017	Payment Denial	
CO	CAMBRIDGE CARE CENTER	02/14/2019	Fine	11944
AR	BRIGHTON RIDGE	11/22/2017	Fine	9750
AR	THE VILLAGE AT VALLEY RANCH	01/25/2018	Fine	6767
CO	BETHANY NURSING & REHAB CENTER	07/18/2017	Fine	191732
CT	GREENTREE MANOR NURSING & REHA	07/19/2018	Fine	8128
FL	PINES NURSING HOME	11/09/2017	Fine	7225
FL	WINTER PARK CARE & REHABILITATION CENTER	08/13/2017	Fine	37187
FL	ROCKLEDGE HEALTH AND REHABILITATION CENTER	06/02/2016	Fine	4550
CA	SEQUOIA TRANSITIONAL CARE	01/06/2017	Payment Denial	
CO	GLENWOOD SPRINGS HEALTH CARE	11/21/2016	Payment Denial	
AL	JACKSONVILLE HEALTH AND REHABILITATION, LLC	07/21/2016	Fine	22887
CT	WOLCOTT HALL NURSING CTR	10/04/2017	Fine	6500
CA	PALO ALTO SUB-ACUTE AND REHABILITATION CENTER	07/05/2016	Fine	8775
CA	AVALON VILLA CARE CENTER	01/27/2017	Fine	6039
CT	BLOOMFIELD HEALTH CARE CENTER	04/27/2017	Fine	30709
CA	WOODRUFF CONVALESCENT CENTER	12/21/2016	Fine	18964
CA	CYPRESS RIDGE CARE CENTER	05/30/2017	Fine	3999
AR	COMMUNITY COMPASSION CENTER OF YELLVILLE	07/01/2016	Payment Denial	
CT	HARBOR VILLAGE NORTH HEALTH AND REHABILITATION CEN	12/19/2018	Fine	13905
CO	CHERRELYN HEALTHCARE CENTER	02/15/2018	Fine	75572
CA	SEAVIEW REHABILITATION & WELLNESS CENTER, LP	12/21/2016	Fine	39955
AR	DAVIS EAST	06/24/2016	Payment Denial	
AR	LEGACY HEALTH AND REHABILITATION CENTER	06/14/2017	Fine	38150
CT	GARDNER HEIGHTS HEALTH CARE CENTER, INC	06/28/2018	Fine	9750
AR	NURSING AND REHABILITATION CENTER AT GOOD SHEPHERD	09/28/2017	Fine	61083
FL	GREENBRIAR REHABILITATION AND NURSING CENTER	06/24/2016	Fine	11016
AR	ST ANDREWS PLACE	06/25/2017	Fine	12678
CT	APPLE REHAB FARMINGTON VALLEY	01/07/2019	Fine	10368
CA	BONNIE BRAE CONVALESCENT HOSP	04/28/2017	Payment Denial	
AL	ATTALLA HEALTH AND REHAB	08/03/2018	Payment Denial	
AR	ST MICHAEL'S PLACE, INC	09/26/2018	Fine	10693
CT	APPLE REHAB ROCKY HILL	11/02/2017	Fine	8125
CT	HARRINGTON COURT	01/09/2018	Fine	6500
CA	ALEXANDRIA CARE CENTER	10/13/2016	Payment Denial	
CT	THE RESERVOIR	07/17/2017	Fine	7150
CT	WOODLAKE AT TOLLAND REHABILITATION & NURSING CENTE	11/09/2018	Fine	17500
CA	PANORAMA MEADOWS NURSING CENTER, LP	04/30/2017	Fine	24851
AR	ST ELIZABETH'S PLACE	09/15/2017	Fine	7964
AR	COVINGTON COURT HEALTH AND REHABILITATION CENTER	07/08/2016	Fine	9393
AR	COMMUNITY COMPASSION CENTER OF SEARCY	02/21/2018	Fine	12678
AK	WILDFLOWER COURT	01/19/2017	Fine	7964
CO	BETHANY NURSING & REHAB CENTER	06/28/2018	Fine	11267
CA	MANTECA CARE AND REHABILITATION CENTER	11/09/2016	Fine	50710
AR	THE VILLAGE AT VALLEY RANCH	01/25/2018	Payment Denial	
AL	TERRACE OAKS CARE & REHABILITATION CENTER	09/10/2017	Fine	130864
AZ	SUN CITY HEALTH AND REHABILITATION CENTER	07/21/2016	Fine	2600
FL	HEATHER HILL HEALTHCARE CENTER	05/10/2018	Fine	14076
CT	CAMBRIDGE HEALTH AND REHABILITATION CENTER	06/02/2017	Fine	19383
CA	ROYAL CARE SKILLED NURSING CTR	03/22/2017	Fine	2013
CO	WOODRIDGE TERRACE NURSING AND REHABILITATION	03/21/2018	Fine	68543
CA	LA MARIPOSA CARE AND REHABILITATION CENTER	06/15/2018	Fine	6000
AZ	RIDGECREST HEALTHCARE	03/09/2017	Fine	27710
CT	MASONICARE HEALTH CENTER	01/27/2017	Fine	2641
CA	CENTINELA SKILLED NURSING & WELLNESS CENTRE WEST	05/21/2018	Fine	6500
AR	WOODLAND HILLS HEALTHCARE AND REHABILITATION OF JA	12/06/2018	Fine	13480
AR	HAPPY VALLEY NURSING & REHABILITATION	09/29/2016	Payment Denial	
CT	TRINITY HILL CARE CENTER	12/10/2018	Fine	7296
CA	LEGACY POST-ACUTE REHABILITATION	08/25/2016	Fine	58777
CT	BEL AIR MANOR	06/08/2018	Fine	6500
CT	MAPLE VIEW MANOR	09/01/2016	Fine	13163
AR	COMMUNITY COMPASSION CENTER OF JONESBORO	06/17/2016	Fine	13160
CO	MONACO PARKWAY HEALTH AND REHABILITATION CENTER	03/02/2017	Payment Denial	
CA	PACIFIC HILLS MANOR	08/18/2017	Fine	12500
CA	GRIFFITH PARK HEALTHCARE CENTER	08/24/2018	Fine	6500
CO	ALPINE LIVING CENTER	08/16/2017	Fine	370013
CT	SHARON HEALTH CARE CENTER	05/04/2017	Fine	4758
AR	THE WATERS OF NEWPORT, LLC	08/22/2018	Fine	6500
CT	CASSENA CARE AT NEW BRITAIN	09/15/2016	Fine	17821
DE	ATLANTIC SHORES REHABILITATION & HEALTH CENTER	03/01/2017	Fine	93776
CO	COLONIAL COLUMNS NURSING CENTER	04/21/2017	Fine	155610
AR	CRESTPARK WYNNE, LLC	07/13/2018	Payment Denial	
AR	VAN BUREN HEALTHCARE AND REHABILITATION CENTER	09/29/2016	Fine	6886
FL	VALENCIA HILLS HEALTH AND REHABILITATION CENTER	12/15/2016	Fine	402
CT	ST JOSEPH'S CENTER	11/18/2016	Fine	2316
CO	SAN JUAN LIVING CENTER	06/20/2016	Fine	11993
CO	FORT COLLINS HEALTH CARE CENTER	02/07/2019	Fine	42201
AR	GARDNER NURSING AND REHABILITATION	11/04/2016	Fine	3973
AR	VAN BUREN HEALTHCARE AND REHABILITATION CENTER	07/28/2017	Fine	14302
CT	FAIRVIEW	07/19/2018	Fine	13085
AR	ST JOHNS PLACE OF ARKANSAS, LLC	04/21/2017	Fine	5302
AR	MAPLE HEALTHCARE	02/01/2018	Fine	10400
CT	CURTIS HOME ST ELIZABETH CENTER	08/31/2017	Fine	23078
AR	MOUNT VISTA REHABILITATION AND HEALTH CENTER	03/20/2018	Fine	11050
CA	WINDSOR REDDING CARE CENTER	09/13/2018	Payment Denial	
AR	THE WATERS OF CUMBERLAND, LLC	09/26/2017	Fine	10475
DE	SILVER LAKE CENTER	05/18/2017	Fine	9428
FL	OAK HAVEN REHAB AND NURSING CENTER	11/06/2018	Payment Denial	
DE	MANORCARE HEALTH  SERVICES - PIKE CREEK	03/01/2018	Fine	12028
CA	WELLSPRINGS POST ACUTE CENTER	06/22/2016	Payment Denial	
CA	ST. JOHN OF GOD RETIREMENT	10/27/2017	Payment Denial	
FL	LAKELAND HILLS CENTER	06/23/2017	Fine	15590
CT	REGALCARE AT SOUTHPORT	08/22/2017	Payment Denial	
CA	TWO PALMS NURSING CENTER, INC	01/06/2017	Payment Denial	
CT	BICKFORD HEALTH CARE CENTER	02/16/2018	Payment Denial	
CT	WITHERELL, NATHANIEL	07/27/2017	Fine	10153
CT	WATER'S EDGE CENTER FOR HEALTH & REHAB	11/29/2018	Fine	11000
CA	WHITTIER HILLS HEALTH CARE CTR	09/15/2016	Fine	3063
AL	BLUE RIDGE HEALTHCARE SELMA	08/04/2016	Payment Denial	
AR	HUDSON MEMORIAL NURSING HOME	10/14/2016	Fine	25500
AR	HUDSON MEMORIAL NURSING HOME	09/22/2017	Fine	9625
CT	LUDLOWE CENTER FOR HEALTH & REHABILITATION, LLC	03/12/2018	Fine	16153
CA	VALLE VISTA CONVALESCENT HOSPITAL	07/12/2016	Fine	12383
AL	PARKWOOD HEALTH CARE FACILITY	10/31/2016	Fine	114193
CA	IDYLWOOD CARE CENTER	09/08/2017	Fine	12490
CA	MORAGA POST ACUTE	02/28/2018	Fine	8125
CT	MONSIGNOR BOJNOWSKI MANOR	03/21/2018	Fine	19383
CT	GROTON REGENCY CENTER	04/27/2017	Fine	15691
FL	SIGNATURE HEALTHCARE AT COLLEGE PARK	10/16/2018	Fine	13627
AR	SILOAM HEALTHCARE, LLC	10/26/2017	Fine	8664
CA	EDGEWATER SKILLED NURSING CENTER	12/20/2016	Payment Denial	
AR	COMMUNITY COMPASSION CENTER OF WEST MEMPHIS	06/22/2017	Fine	148932
AK	DENALI CENTER	10/27/2016	Fine	24375
AR	SEVEN SPRINGS REHABILITATION AND HEALTH CENTER	08/07/2018	Fine	18576
AR	COTTAGE LANE HEALTH AND REHAB	05/24/2017	Fine	110757
CA	WALNUT CREEK SKILLED NURSING & REHABILITATION CENT	06/20/2017	Fine	2146
CA	AVALON HEALTH CARE-MADERA	11/09/2016	Fine	5273
CA	HOLLYWOOD PRESBYTERIAN MEDICAL CENTER D/P SNF	10/10/2017	Fine	10000
AR	COURTYARD GARDENS HEALTH AND REHABILITATION CENTER	01/27/2017	Fine	328149
CO	MINNEQUA MEDICENTER	02/12/2018	Fine	66885
DE	WESTMINSTER VILLAGE HEALTH	02/12/2018	Payment Denial	
CT	MEADOW RIDGE	01/03/2018	Fine	72666
AR	CONCORDIA NURSING & REHAB, LLC	09/14/2016	Fine	11193
CT	NORTHBRIDGE HEALTH CARE CENTER	08/27/2018	Fine	6500
CT	TOUCHPOINTS AT CHESTNUT	04/05/2018	Fine	6893
